"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"04-Jan-2010","     5200.90","     5238.45","     5167.10","     5232.20","      148652424","         6531.61"
"05-Jan-2010","     5277.15","     5288.35","     5242.40","     5277.90","      240844424","         7969.62"
"06-Jan-2010","     5278.15","     5310.85","     5260.05","     5281.80","      216147837","         7892.60"
"07-Jan-2010","     5281.80","     5302.55","     5244.75","     5263.10","      181246734","         6890.99"
"08-Jan-2010","     5264.25","     5276.75","     5234.70","     5244.75","      201910800","         7777.04"
"11-Jan-2010","     5263.80","     5287.20","     5227.80","     5249.40","      238011959","        11080.55"
"12-Jan-2010","     5251.10","     5300.50","     5200.95","     5210.40","      206748015","         8648.49"
"13-Jan-2010","     5212.60","     5239.20","     5169.55","     5233.95","      200774550","         8430.48"
"14-Jan-2010","     5234.50","     5272.85","     5232.50","     5259.90","      171282618","         7824.43"
"15-Jan-2010","     5259.90","     5279.85","     5242.45","     5252.20","      167242355","         6927.87"
"18-Jan-2010","     5253.65","     5292.50","     5228.95","     5274.85","      153687597","         6659.87"
"19-Jan-2010","     5274.20","     5287.80","     5218.65","     5225.65","      141424524","         6197.52"
"20-Jan-2010","     5226.10","     5256.70","     5201.40","     5221.70","      167867201","         7170.51"
"21-Jan-2010","     5220.20","     5220.35","     5085.45","     5094.15","      190009431","         7943.76"
"22-Jan-2010","     5094.15","     5094.15","     4954.85","     5036.00","      270251977","        10414.08"
"25-Jan-2010","     5034.55","     5035.70","     4983.05","     5007.90","      166405391","         5714.17"
"27-Jan-2010","     5008.50","     5008.50","     4833.05","     4853.10","      274773820","         9800.33"
"28-Jan-2010","     4863.00","     4929.90","     4824.95","     4867.25","      275868897","        10614.04"
"29-Jan-2010","     4866.15","     4893.70","     4766.00","     4882.05","      265191792","        10116.63"
"01-Feb-2010","     4882.05","     4918.80","     4827.15","     4899.70","      226819473","         7255.33"
"02-Feb-2010","     4907.85","     4951.15","     4814.10","     4830.10","      235090748","         7927.05"
"03-Feb-2010","     4831.00","     4949.15","     4831.00","     4931.85","      163105434","         6448.29"
"04-Feb-2010","     4931.30","     4931.30","     4832.35","     4845.35","      167815142","         6169.35"
"05-Feb-2010","     4819.65","     4827.00","     4692.35","     4718.65","      222362365","         7609.87"
"06-Feb-2010","     4712.75","     4768.15","     4712.75","     4757.25","       22091127","          643.11"
"08-Feb-2010","     4755.35","     4799.05","     4675.40","     4760.40","      205364363","         6823.11"
"09-Feb-2010","     4760.55","     4810.40","     4739.35","     4792.65","      175452494","         5819.47"
"10-Feb-2010","     4793.00","     4826.85","     4748.10","     4757.20","      185053448","         6196.72"
"11-Feb-2010","     4757.25","     4843.80","     4757.25","     4826.85","      142638466","         4917.21"
"15-Feb-2010","     4827.90","     4845.60","     4783.90","     4801.95","      153758927","         5004.68"
"16-Feb-2010","     4801.80","     4880.00","     4791.35","     4855.75","      156011235","         5240.97"
"17-Feb-2010","     4858.65","     4929.70","     4857.60","     4914.00","      176502266","         6291.08"
"18-Feb-2010","     4915.10","     4922.05","     4873.70","     4887.75","      193513235","         5763.98"
"19-Feb-2010","     4887.30","     4887.30","     4805.55","     4844.90","      194311305","         5737.99"
"22-Feb-2010","     4849.35","     4912.05","     4845.90","     4856.40","      149362400","         4591.60"
"23-Feb-2010","     4856.60","     4884.10","     4833.15","     4870.05","      129233916","         4617.62"
"24-Feb-2010","     4869.55","     4880.55","     4834.65","     4858.60","      141213476","         4842.23"
"25-Feb-2010","     4859.00","     4880.15","     4835.60","     4859.75","      179443119","         6427.68"
"26-Feb-2010","     4858.50","     4992.00","     4858.45","     4922.30","      341137163","        10987.94"
"02-Mar-2010","     4935.60","     5029.45","     4935.35","     5017.00","      233127111","         8468.18"
"03-Mar-2010","     5015.80","     5093.25","     5015.10","     5088.10","      191791765","         7375.98"
"04-Mar-2010","     5096.95","     5096.95","     5049.00","     5080.25","      205104948","         6826.25"
"05-Mar-2010","     5080.55","     5118.65","     5068.05","     5088.70","      209604746","         6307.80"
"08-Mar-2010","     5092.15","     5147.10","     5092.15","     5124.00","      187964711","         7130.87"
"09-Mar-2010","     5121.05","     5131.80","     5094.35","     5101.50","      158734706","         6364.07"
"10-Mar-2010","     5101.60","     5137.40","     5092.05","     5116.25","      167174523","         6445.89"
"11-Mar-2010","     5116.35","     5152.60","     5102.10","     5133.40","      155698046","         5500.07"
"12-Mar-2010","     5131.80","     5158.10","     5122.10","     5137.00","      152561763","         5927.11"
"15-Mar-2010","     5134.45","     5151.05","     5101.20","     5128.90","      134878673","         5301.12"
"16-Mar-2010","     5128.95","     5209.25","     5125.70","     5198.10","      120692486","         5250.18"
"17-Mar-2010","     5198.45","     5260.50","     5177.15","     5231.90","      169767105","         6291.05"
"18-Mar-2010","     5232.55","     5255.65","     5214.40","     5245.90","      160336720","         5521.68"
"19-Mar-2010","     5246.80","     5269.95","     5237.10","     5262.80","      136871848","         5558.70"
"22-Mar-2010","     5260.95","     5260.95","     5187.05","     5205.20","      130039411","         5212.14"
"23-Mar-2010","     5205.85","     5243.60","     5193.40","     5225.30","      146479804","         5673.78"
