"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"04-May-2015","     8230.05","     8346.00","     8220.45","     8331.95","      136913823","         7856.18"
"05-May-2015","     8338.40","     8355.65","     8280.60","     8324.80","      156019941","         8138.54"
"06-May-2015","     8316.60","     8331.95","     8083.00","     8097.00","      212509839","        10894.12"
"07-May-2015","     8077.00","     8122.60","     7997.15","     8057.30","      166563657","         8443.96"
"08-May-2015","     8131.50","     8224.95","     8123.45","     8191.50","      188776090","         8961.33"
"11-May-2015","     8243.20","     8332.75","     8224.65","     8325.25","      197882948","         8396.12"
"12-May-2015","     8326.15","     8326.65","     8115.30","     8126.95","      178753978","         8779.53"
"13-May-2015","     8181.55","     8254.95","     8089.80","     8235.45","      175015183","         8391.93"
"14-May-2015","     8232.45","     8236.25","     8137.30","     8224.20","      138964395","         6763.72"
"15-May-2015","     8240.30","     8279.20","     8212.20","     8262.35","      133838055","         6463.64"
"18-May-2015","     8284.95","     8384.60","     8271.95","     8373.65","      153340463","         7459.18"
"19-May-2015","     8356.20","     8427.80","     8335.00","     8365.65","      144642344","         7266.52"
"20-May-2015","     8392.65","     8440.35","     8391.45","     8423.25","      127388797","         6151.44"
"21-May-2015","     8434.50","     8446.35","     8382.50","     8421.00","      148189485","         7641.60"
"22-May-2015","     8432.50","     8489.55","     8420.60","     8458.95","      193080657","         8261.69"
"25-May-2015","     8438.15","     8441.95","     8364.15","     8370.25","      125051166","         5555.29"
"26-May-2015","     8377.10","     8378.90","     8320.05","     8339.35","      120428892","         5908.30"
"27-May-2015","     8302.75","     8342.85","     8277.95","     8334.60","      170583401","         8131.59"
"28-May-2015","     8345.70","     8364.50","     8270.15","     8319.00","      239549060","        11449.91"
"29-May-2015","     8327.10","     8443.90","     8305.70","     8433.65","      375232198","        20736.20"
"01-Jun-2015","     8417.25","     8467.15","     8405.40","     8433.40","      125990614","         7254.01"
"02-Jun-2015","     8442.80","     8445.35","     8226.05","     8236.45","      151337661","         8083.17"
"03-Jun-2015","     8232.45","     8236.70","     8094.15","     8135.10","      176661646","         7920.26"
"04-Jun-2015","     8155.15","     8160.05","     8056.75","     8130.65","      159470840","         7560.49"
"05-Jun-2015","     8119.15","     8191.00","     8100.15","     8114.70","      167055308","         7588.40"
