"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"03-Aug-2015","     8510.65","     8563.95","     8508.10","     8543.05","      161485758","         7738.10"
"04-Aug-2015","     8564.10","     8565.15","     8448.25","     8516.90","      193226091","         9003.82"
"05-Aug-2015","     8547.45","     8591.85","     8545.85","     8567.95","      136948290","         6434.82"
"06-Aug-2015","     8585.80","     8606.30","     8551.50","     8588.65","      139116393","         6595.25"
"07-Aug-2015","     8580.80","     8595.95","     8552.70","     8564.60","      148073594","         6528.28"
"10-Aug-2015","     8577.00","     8621.55","     8497.80","     8525.60","      127194886","         5780.49"
"11-Aug-2015","     8548.45","     8556.25","     8441.30","     8462.35","      159192694","         7049.29"
"12-Aug-2015","     8445.70","     8446.95","     8337.95","     8349.45","      195904304","         8630.35"
"13-Aug-2015","     8384.45","     8429.50","     8339.75","     8355.85","      195079107","         7840.58"
"14-Aug-2015","     8402.35","     8530.10","     8381.20","     8518.55","      160680260","         7090.58"
"17-Aug-2015","     8530.50","     8530.60","     8428.05","     8477.30","      180083830","         6543.01"
"18-Aug-2015","     8505.85","     8525.75","     8433.60","     8466.55","      157991554","         6501.24"
"19-Aug-2015","     8468.05","     8520.45","     8425.95","     8495.15","      134512114","         6338.67"
"20-Aug-2015","     8471.05","     8501.35","     8359.75","     8372.75","      189841783","         9193.19"
