
Generating Trend... 

Date 		  Closing 	  Delta       Movement 	    Trend 
------------------------------------------------------------------------

01-Jan-2014       6301.65         -2          Down          Reverse
02-Jan-2014       6221.15         -80         Down          Follows
03-Jan-2014       6211.15         -10         Down          Follows
06-Jan-2014       6191.45         -19         Down          Follows
07-Jan-2014       6162.25         -29         Down          Follows
08-Jan-2014       6174.60         12          Up            Reverse
09-Jan-2014       6168.35         -6          Down          Reverse
10-Jan-2014       6171.45         3           Up            Reverse
13-Jan-2014       6272.75         101         Up            Follows
14-Jan-2014       6241.85         -30         Down          Reverse
15-Jan-2014       6320.90         79          Up            Reverse
16-Jan-2014       6318.90         -2          Down          Reverse
17-Jan-2014       6261.65         -57         Down          Follows
20-Jan-2014       6303.95         42          Up            Reverse
21-Jan-2014       6313.80         9           Up            Follows
22-Jan-2014       6338.95         25          Up            Follows
23-Jan-2014       6345.65         6           Up            Follows
24-Jan-2014       6266.75         -78         Down          Reverse
27-Jan-2014       6135.85         -130        Down          Follows
28-Jan-2014       6126.25         -9          Down          Follows
29-Jan-2014       6120.25         -6          Down          Follows
30-Jan-2014       6073.70         -46         Down          Follows
31-Jan-2014       6089.50         15          Up            Reverse

03-Feb-2014       6001.80         -87         Down          Reverse
04-Feb-2014       6000.90         0           Up            Reverse
05-Feb-2014       6022.40         21          Up            Follows
06-Feb-2014       6036.30         13          Up            Follows
07-Feb-2014       6063.20         26          Up            Follows
10-Feb-2014       6053.45         -9          Down          Reverse
11-Feb-2014       6062.70         9           Up            Reverse
12-Feb-2014       6084.00         21          Up            Follows
13-Feb-2014       6001.10         -82         Down          Reverse
14-Feb-2014       6048.35         47          Up            Reverse
17-Feb-2014       6073.30         24          Up            Follows
18-Feb-2014       6127.10         53          Up            Follows
19-Feb-2014       6152.75         25          Up            Follows
20-Feb-2014       6091.45         -61         Down          Reverse
21-Feb-2014       6155.45         64          Up            Reverse
24-Feb-2014       6186.10         30          Up            Follows
25-Feb-2014       6200.05         13          Up            Follows
26-Feb-2014       6238.80         38          Up            Follows
28-Feb-2014       6276.95         38          Up            Follows

03-Mar-2014       6221.45         -55         Down          Reverse
04-Mar-2014       6297.95         76          Up            Reverse
05-Mar-2014       6328.65         30          Up            Follows
06-Mar-2014       6401.15         72          Up            Follows
07-Mar-2014       6526.65         125         Up            Follows
10-Mar-2014       6537.25         10          Up            Follows
11-Mar-2014       6511.90         -25         Down          Reverse
12-Mar-2014       6516.90         5           Up            Reverse
13-Mar-2014       6493.10         -23         Down          Reverse
14-Mar-2014       6504.20         11          Up            Reverse
18-Mar-2014       6516.65         12          Up            Follows
19-Mar-2014       6524.05         7           Up            Follows
20-Mar-2014       6483.10         -40         Down          Reverse
21-Mar-2014       6493.20         10          Up            Reverse
22-Mar-2014       6494.90         1           Up            Follows
24-Mar-2014       6583.50         88          Up            Follows
25-Mar-2014       6589.75         6           Up            Follows
26-Mar-2014       6601.40         11          Up            Follows
27-Mar-2014       6641.75         40          Up            Follows
28-Mar-2014       6695.90         54          Up            Follows
31-Mar-2014       6704.20         8           Up            Follows

01-Apr-2014       6721.05         16          Up            Follows
02-Apr-2014       6752.55         31          Up            Follows
